,line_id,name,mode,stops
0,bakerloo,Bakerloo,tube,"['940GZZLUHAW', '940GZZLUKEN', '940GZZLUSKT', '940GZZLUNWY', '940GZZLUWYC', '940GZZLUSGP', '940GZZLUHSN', '940GZZLUWJN', '940GZZLUKSL', '940GZZLUQPS', '940GZZLUKPK', '940GZZLUMVL', '940GZZLUWKA', '940GZZLUPAC', '940GZZLUERB', '940GZZLUMYB', '940GZZLUBST', '940GZZLURGP', '940GZZLUOXC', '940GZZLUPCC', '940GZZLUCHX', '940GZZLUEMB', '940GZZLUWLO', '940GZZLULBN', '940GZZLUEAC', '940GZZLUEAC', '940GZZLULBN', '940GZZLUWLO', '940GZZLUEMB', '940GZZLUCHX', '940GZZLUPCC', '940GZZLUOXC', '940GZZLURGP', '940GZZLUBST', '940GZZLUMYB', '940GZZLUERB', '940GZZLUPAC', '940GZZLUWKA', '940GZZLUMVL', '940GZZLUKPK', '940GZZLUQPS', '940GZZLUKSL', '940GZZLUWJN', '940GZZLUHSN', '940GZZLUSGP', '940GZZLUWYC', '940GZZLUNWY', '940GZZLUSKT', '940GZZLUKEN', '940GZZLUHAW']"
1,central,Central,tube,"['940GZZLUEPG', '940GZZLUTHB', '940GZZLUDBN', '940GZZLULGN', '940GZZLUBKH', '940GZZLUWOF', '940GZZLUWOF', '940GZZLUSWF', '940GZZLUSNB', '940GZZLULYS', '940GZZLULYS', '940GZZLULYN', '940GZZLUSTD', '940GZZLUMED', '940GZZLUBLG', '940GZZLULVT', '940GZZLUBNK', '940GZZLUSPU', '940GZZLUCHL', '940GZZLUHBN', '940GZZLUTCR', '940GZZLUOXC', '940GZZLUBND', '940GZZLUMBA', '940GZZLULGT', '940GZZLUQWY', '940GZZLUNHG', '940GZZLUHPK', '940GZZLUSBC', '940GZZLUWCY', '940GZZLUEAN', '940GZZLUNAN', '940GZZLUNAN', '940GZZLUHGR', '940GZZLUPVL', '940GZZLUGFD', '940GZZLUNHT', '940GZZLUSRP', '940GZZLURSG', '940GZZLUWRP', '940GZZLUWRP', '940GZZLURSG', '940GZZLUSRP', '940GZZLUNHT', '940GZZLUGFD', '940GZZLUPVL', '940GZZLUHGR', '940GZZLUNAN', '940GZZLUNAN', '940GZZLUEAN', '940GZZLUWCY', '940GZZLUSBC', '940GZZLUHPK', '940GZZLUNHG', '940GZZLUQWY', '940GZZLULGT', '940GZZLUMBA', '940GZZLUBND', '940GZZLUOXC', '940GZZLUTCR', '940GZZLUHBN', '940GZZLUCHL', '940GZZLUSPU', '940GZZLUBNK', '940GZZLULVT', '940GZZLUBLG', '940GZZLUMED', '940GZZLUSTD', '940GZZLULYN', '940GZZLULYS', '940GZZLULYS', '940GZZLUSNB', '940GZZLUSWF', '940GZZLUWOF', '940GZZLUWOF', '940GZZLUBKH', '940GZZLULGN', '940GZZLUDBN', '940GZZLUTHB', '940GZZLUEPG', '940GZZLUHLT', '940GZZLUFLP', '940GZZLUBKE', '940GZZLUNBP', '940GZZLUGTH', '940GZZLURBG', '940GZZLUWSD', '940GZZLULYS', '940GZZLUHLT', '940GZZLUGGH', '940GZZLUCWL', '940GZZLURVY', '940GZZLUWOF', '940GZZLULYS', '940GZZLUWSD', '940GZZLURBG', '940GZZLUGTH', '940GZZLUNBP', '940GZZLUBKE', '940GZZLUFLP', '940GZZLUHLT', '940GZZLUWOF', '940GZZLURVY', '940GZZLUCWL', '940GZZLUGGH', '940GZZLUHLT', '940GZZLUNAN', '940GZZLUWTA', '940GZZLUEBY', '940GZZLUEBY', '940GZZLUWTA', '940GZZLUNAN']"
2,circle,Circle,tube,"['940GZZLUERC', '940GZZLUPAC', '940GZZLUBWT', '940GZZLUNHG', '940GZZLUHSK', '940GZZLUGTR', '940GZZLUSKS', '940GZZLUSSQ', '940GZZLUVIC', '940GZZLUSJP', '940GZZLUWSM', '940GZZLUEMB', '940GZZLUTMP', '940GZZLUBKF', '940GZZLUMSH', '940GZZLUCST', '940GZZLUMMT', '940GZZLUTWH', '940GZZLUALD', '940GZZLULVT', '940GZZLUMGT', '940GZZLUBBN', '940GZZLUFCN', '940GZZLUKSX', '940GZZLUESQ', '940GZZLUGPS', '940GZZLUBST', '940GZZLUERC', '940GZZLUERC', '940GZZLUPAH', '940GZZLURYO', '940GZZLUWSP', '940GZZLULAD', '940GZZLULRD', '940GZZLUWLA', '940GZZLUSBM', '940GZZLUGHK', '940GZZLUHSC', '940GZZLUHSC', '940GZZLUGHK', '940GZZLUSBM', '940GZZLUWLA', '940GZZLULRD', '940GZZLULAD', '940GZZLUWSP', '940GZZLURYO', '940GZZLUPAH', '940GZZLUERC', '940GZZLUERC', '940GZZLUBST', '940GZZLUGPS', '940GZZLUESQ', '940GZZLUKSX', '940GZZLUFCN', '940GZZLUBBN', '940GZZLUMGT', '940GZZLULVT', '940GZZLUALD', '940GZZLUTWH', '940GZZLUMMT', '940GZZLUCST', '940GZZLUMSH', '940GZZLUBKF', '940GZZLUTMP', '940GZZLUEMB', '940GZZLUWSM', '940GZZLUSJP', '940GZZLUVIC', '940GZZLUSSQ', '940GZZLUSKS', '940GZZLUGTR', '940GZZLUHSK', '940GZZLUNHG', '940GZZLUBWT', '940GZZLUPAC', '940GZZLUERC']"
3,district,District,tube,"['940GZZLUUPM', '940GZZLUUPB', '940GZZLUHCH', '940GZZLUEPK', '940GZZLUDGE', '940GZZLUDGY', '940GZZLUBEC', '940GZZLUUPY', '940GZZLUBKG', '940GZZLUEHM', '940GZZLUUPK', '940GZZLUPLW', '940GZZLUWHM', '940GZZLUBBB', '940GZZLUBWR', '940GZZLUMED', '940GZZLUSGN', '940GZZLUWPL', '940GZZLUADE', '940GZZLUTWH', '940GZZLUMMT', '940GZZLUCST', '940GZZLUMSH', '940GZZLUBKF', '940GZZLUTMP', '940GZZLUEMB', '940GZZLUWSM', '940GZZLUSJP', '940GZZLUVIC', '940GZZLUSSQ', '940GZZLUSKS', '940GZZLUGTR', '940GZZLUECT', '940GZZLUECT', '940GZZLUWKN', '940GZZLUBSC', '940GZZLUHSD', '940GZZLURVP', '940GZZLUSFB', '940GZZLUTNG', '940GZZLUTNG', '940GZZLUCWP', '940GZZLUACT', '940GZZLUECM', '940GZZLUEBY', '940GZZLUEBY', '940GZZLUECM', '940GZZLUACT', '940GZZLUCWP', '940GZZLUTNG', '940GZZLUTNG', '940GZZLUSFB', '940GZZLURVP', '940GZZLUHSD', '940GZZLUBSC', '940GZZLUWKN', '940GZZLUECT', '940GZZLUECT', '940GZZLUGTR', '940GZZLUSKS', '940GZZLUSSQ', '940GZZLUVIC', '940GZZLUSJP', '940GZZLUWSM', '940GZZLUEMB', '940GZZLUTMP', '940GZZLUBKF', '940GZZLUMSH', '940GZZLUCST', '940GZZLUMMT', '940GZZLUTWH', '940GZZLUADE', '940GZZLUWPL', '940GZZLUSGN', '940GZZLUMED', '940GZZLUBWR', '940GZZLUBBB', '940GZZLUWHM', '940GZZLUPLW', '940GZZLUUPK', '940GZZLUEHM', '940GZZLUBKG', '940GZZLUUPY', '940GZZLUBEC', '940GZZLUDGY', '940GZZLUDGE', '940GZZLUEPK', '940GZZLUHCH', '940GZZLUUPB', '940GZZLUUPM', '940GZZLUTNG', '940GZZLUGBY', '940GZZLUKWG', '940GZZLURMD', '940GZZLURMD', '940GZZLUKWG', '940GZZLUGBY', '940GZZLUTNG', '940GZZLUECT', '940GZZLUWBN', '940GZZLUFBY', '940GZZLUPSG', '940GZZLUPYB', '940GZZLUEPY', '940GZZLUSFS', '940GZZLUWIP', '940GZZLUWIM', '940GZZLUWIM', '940GZZLUWIP', '940GZZLUSFS', '940GZZLUEPY', '940GZZLUPYB', '940GZZLUPSG', '940GZZLUFBY', '940GZZLUWBN', '940GZZLUECT', '940GZZLUERC', '940GZZLUPAC', '940GZZLUBWT', '940GZZLUNHG', '940GZZLUHSK', '940GZZLUECT', '940GZZLUECT', '940GZZLUHSK', '940GZZLUNHG', '940GZZLUBWT', '940GZZLUPAC', '940GZZLUERC', '940GZZLUECT', '940GZZLUKOY', '940GZZLUKOY', '940GZZLUECT']"
4,hammersmith-city,Hammersmith & City,tube,"['940GZZLUBKG', '940GZZLUEHM', '940GZZLUUPK', '940GZZLUPLW', '940GZZLUWHM', '940GZZLUBBB', '940GZZLUBWR', '940GZZLUMED', '940GZZLUSGN', '940GZZLUWPL', '940GZZLUADE', '940GZZLULVT', '940GZZLUMGT', '940GZZLUBBN', '940GZZLUFCN', '940GZZLUKSX', '940GZZLUESQ', '940GZZLUGPS', '940GZZLUBST', '940GZZLUERC', '940GZZLUPAH', '940GZZLURYO', '940GZZLUWSP', '940GZZLULAD', '940GZZLULRD', '940GZZLUWLA', '940GZZLUSBM', '940GZZLUGHK', '940GZZLUHSC', '940GZZLUHSC', '940GZZLUGHK', '940GZZLUSBM', '940GZZLUWLA', '940GZZLULRD', '940GZZLULAD', '940GZZLUWSP', '940GZZLURYO', '940GZZLUPAH', '940GZZLUERC', '940GZZLUBST', '940GZZLUGPS', '940GZZLUESQ', '940GZZLUKSX', '940GZZLUFCN', '940GZZLUBBN', '940GZZLUMGT', '940GZZLULVT', '940GZZLUADE', '940GZZLUWPL', '940GZZLUSGN', '940GZZLUMED', '940GZZLUBWR', '940GZZLUBBB', '940GZZLUWHM', '940GZZLUPLW', '940GZZLUUPK', '940GZZLUEHM', '940GZZLUBKG']"
5,jubilee,Jubilee,tube,"['940GZZLUSTD', '940GZZLUWHM', '940GZZLUCGT', '940GZZLUNGW', '940GZZLUCYF', '940GZZLUCWR', '940GZZLUBMY', '940GZZLULNB', '940GZZLUSWK', '940GZZLUWLO', '940GZZLUWSM', '940GZZLUGPK', '940GZZLUBND', '940GZZLUBST', '940GZZLUSJW', '940GZZLUSWC', '940GZZLUFYR', '940GZZLUWHP', '940GZZLUKBN', '940GZZLUWIG', '940GZZLUDOH', '940GZZLUNDN', '940GZZLUWYP', '940GZZLUKBY', '940GZZLUQBY', '940GZZLUCPK', '940GZZLUSTM', '940GZZLUSTM', '940GZZLUCPK', '940GZZLUQBY', '940GZZLUKBY', '940GZZLUWYP', '940GZZLUNDN', '940GZZLUDOH', '940GZZLUWIG', '940GZZLUKBN', '940GZZLUWHP', '940GZZLUFYR', '940GZZLUSWC', '940GZZLUSJW', '940GZZLUBST', '940GZZLUBND', '940GZZLUGPK', '940GZZLUWSM', '940GZZLUWLO', '940GZZLUSWK', '940GZZLULNB', '940GZZLUBMY', '940GZZLUCWR', '940GZZLUCYF', '940GZZLUNGW', '940GZZLUCGT', '940GZZLUWHM', '940GZZLUSTD']"
6,metropolitan,Metropolitan,tube,"['940GZZLUAMS', '940GZZLUCAL', '940GZZLUCAL', '940GZZLUCYD', '940GZZLURKW', '940GZZLUMPK', '940GZZLUMPK', '940GZZLUNOW', '940GZZLUNWH', '940GZZLUPNR', '940GZZLUNHA', '940GZZLUHOH', '940GZZLUHOH', '940GZZLUNKP', '940GZZLUPRD', '940GZZLUWYP', '940GZZLUFYR', '940GZZLUBST', '940GZZLUGPS', '940GZZLUESQ', '940GZZLUKSX', '940GZZLUFCN', '940GZZLUBBN', '940GZZLUMGT', '940GZZLULVT', '940GZZLUALD', '940GZZLUWYP', '940GZZLUWIG', '940GZZLUFYR', '940GZZLUALD', '940GZZLULVT', '940GZZLUMGT', '940GZZLUBBN', '940GZZLUFCN', '940GZZLUKSX', '940GZZLUESQ', '940GZZLUGPS', '940GZZLUBST', '940GZZLUFYR', '940GZZLUWYP', '940GZZLUPRD', '940GZZLUNKP', '940GZZLUHOH', '940GZZLUHOH', '940GZZLUNHA', '940GZZLUPNR', '940GZZLUNWH', '940GZZLUNOW', '940GZZLUMPK', '940GZZLUMPK', '940GZZLURKW', '940GZZLUCYD', '940GZZLUCAL', '940GZZLUCAL', '940GZZLUCSM', '940GZZLUCAL', '940GZZLUAMS', '940GZZLUWYP', '940GZZLUFYR', '940GZZLUCSM', '940GZZLUCAL', '940GZZLUHOH', '940GZZLUWHW', '940GZZLURYL', '940GZZLUEAE', '940GZZLURSM', '940GZZLURSP', '940GZZLUICK', '940GZZLUHGD', '940GZZLUUXB', '940GZZLUUXB', '940GZZLUHGD', '940GZZLUICK', '940GZZLURSP', '940GZZLURSM', '940GZZLUEAE', '940GZZLURYL', '940GZZLUWHW', '940GZZLUHOH', '940GZZLUMPK', '940GZZLUCXY', '940GZZLUWAF', '940GZZLUWAF', '940GZZLUCXY', '940GZZLUMPK']"
7,northern,Northern,tube,"['940GZZLUHBT', '940GZZLUTAW', '940GZZLUWOP', '940GZZLUWFN', '940GZZLUFYC', '940GZZLUFYC', '940GZZLUEFY', '940GZZLUHGT', '940GZZLUACY', '940GZZLUTFP', '940GZZLUKSH', '940GZZLUCTN', '940GZZLUCTN', '940GZZLUMTC', '940GZZLUEUS', '940GZZLUEUS', '940GZZLUWRR', '940GZZLUGDG', '940GZZLUTCR', '940GZZLULSQ', '940GZZLUCHX', '940GZZLUEMB', '940GZZLUWLO', '940GZZLUKNG', '940GZZLUKNG', '940GZZLUOVL', '940GZZLUSKW', '940GZZLUCPN', '940GZZLUCPC', '940GZZLUCPS', '940GZZLUBLM', '940GZZLUTBC', '940GZZLUTBY', '940GZZLUCSD', '940GZZLUSWN', '940GZZLUMDN', '940GZZLUCTN', '940GZZLUEUS', '940GZZLUEUS', '940GZZLUKSX', '940GZZLUAGL', '940GZZLUODS', '940GZZLUMGT', '940GZZLUBNK', '940GZZLULNB', '940GZZLUBOR', '940GZZLUEAC', '940GZZLUKNG', '940GZZLUMDN', '940GZZLUSWN', '940GZZLUCSD', '940GZZLUTBY', '940GZZLUTBC', '940GZZLUBLM', '940GZZLUCPS', '940GZZLUCPC', '940GZZLUCPN', '940GZZLUSKW', '940GZZLUOVL', '940GZZLUKNG', '940GZZLUKNG', '940GZZLUWLO', '940GZZLUEMB', '940GZZLUCHX', '940GZZLULSQ', '940GZZLUTCR', '940GZZLUGDG', '940GZZLUWRR', '940GZZLUEUS', '940GZZLUEUS', '940GZZLUMTC', '940GZZLUCTN', '940GZZLUCTN', '940GZZLUKSH', '940GZZLUTFP', '940GZZLUACY', '940GZZLUHGT', '940GZZLUEFY', '940GZZLUFYC', '940GZZLUFYC', '940GZZLUWFN', '940GZZLUWOP', '940GZZLUTAW', '940GZZLUHBT', '940GZZLUKNG', '940GZZLUEAC', '940GZZLUBOR', '940GZZLULNB', '940GZZLUBNK', '940GZZLUMGT', '940GZZLUODS', '940GZZLUAGL', '940GZZLUKSX', '940GZZLUEUS', '940GZZLUEUS', '940GZZLUCTN', '940GZZLUEGW', '940GZZLUBTK', '940GZZLUCND', '940GZZLUHCL', '940GZZLUBTX', '940GZZLUGGN', '940GZZLUHTD', '940GZZLUBZP', '940GZZLUCFM', '940GZZLUCTN', '940GZZLUCTN', '940GZZLUCFM', '940GZZLUBZP', '940GZZLUHTD', '940GZZLUGGN', '940GZZLUBTX', '940GZZLUHCL', '940GZZLUCND', '940GZZLUBTK', '940GZZLUEGW', '940GZZLUMHL', '940GZZLUFYC', '940GZZLUFYC', '940GZZLUMHL', '940GZZLUKNG', '940GZZNEUGST', '940GZZBPSUST', '940GZZBPSUST', '940GZZNEUGST', '940GZZLUKNG']"
8,piccadilly,Piccadilly,tube,"['940GZZLUCKS', '940GZZLUOAK', '940GZZLUSGT', '940GZZLUASG', '940GZZLUBDS', '940GZZLUWOG', '940GZZLUTPN', '940GZZLUMRH', '940GZZLUFPK', '940GZZLUASL', '940GZZLUHWY', '940GZZLUCAR', '940GZZLUKSX', '940GZZLURSQ', '940GZZLUHBN', '940GZZLUCGN', '940GZZLULSQ', '940GZZLUPCC', '940GZZLUGPK', '940GZZLUHPC', '940GZZLUKNB', '940GZZLUSKS', '940GZZLUGTR', '940GZZLUECT', '940GZZLUBSC', '940GZZLUHSD', '940GZZLUTNG', '940GZZLUACT', '940GZZLUACT', '940GZZLUECM', '940GZZLUNEN', '940GZZLUPKR', '940GZZLUALP', '940GZZLUSUT', '940GZZLUSUH', '940GZZLUSHH', '940GZZLURYL', '940GZZLUEAE', '940GZZLURSM', '940GZZLURSP', '940GZZLUICK', '940GZZLUHGD', '940GZZLUUXB', '940GZZLUUXB', '940GZZLUHGD', '940GZZLUICK', '940GZZLURSP', '940GZZLURSM', '940GZZLUEAE', '940GZZLURYL', '940GZZLUSHH', '940GZZLUSUH', '940GZZLUSUT', '940GZZLUALP', '940GZZLUPKR', '940GZZLUNEN', '940GZZLUECM', '940GZZLUACT', '940GZZLUACT', '940GZZLUTNG', '940GZZLUHSD', '940GZZLUBSC', '940GZZLUECT', '940GZZLUGTR', '940GZZLUSKS', '940GZZLUKNB', '940GZZLUHPC', '940GZZLUGPK', '940GZZLUPCC', '940GZZLULSQ', '940GZZLUCGN', '940GZZLUHBN', '940GZZLURSQ', '940GZZLUKSX', '940GZZLUCAR', '940GZZLUHWY', '940GZZLUASL', '940GZZLUFPK', '940GZZLUMRH', '940GZZLUTPN', '940GZZLUWOG', '940GZZLUBDS', '940GZZLUASG', '940GZZLUSGT', '940GZZLUOAK', '940GZZLUCKS', '940GZZLUACT', '940GZZLUSEA', '940GZZLUNFD', '940GZZLUBOS', '940GZZLUOSY', '940GZZLUHWE', '940GZZLUHWC', '940GZZLUHWT', '940GZZLUHNX', '940GZZLUHNX', '940GZZLUHRC', '940GZZLUHR5', '940GZZLUHR4', '940GZZLUHRC', '940GZZLUHRC', '940GZZLUHNX', '940GZZLUHWT', '940GZZLUHWC', '940GZZLUHWE', '940GZZLUOSY', '940GZZLUBOS', '940GZZLUNFD', '940GZZLUSEA', '940GZZLUACT', '940GZZLUHR5', '940GZZLUHRC', '940GZZLUHNX', '940GZZLUHR4']"
9,victoria,Victoria,tube,"['940GZZLUWWL', '940GZZLUBLR', '940GZZLUTMH', '940GZZLUSVS', '940GZZLUFPK', '940GZZLUHAI', '940GZZLUKSX', '940GZZLUEUS', '940GZZLUWRR', '940GZZLUOXC', '940GZZLUGPK', '940GZZLUVIC', '940GZZLUPCO', '940GZZLUVXL', '940GZZLUSKW', '940GZZLUBXN', '940GZZLUBXN', '940GZZLUSKW', '940GZZLUVXL', '940GZZLUPCO', '940GZZLUVIC', '940GZZLUGPK', '940GZZLUOXC', '940GZZLUWRR', '940GZZLUEUS', '940GZZLUKSX', '940GZZLUHAI', '940GZZLUFPK', '940GZZLUSVS', '940GZZLUTMH', '940GZZLUBLR', '940GZZLUWWL']"
